ID	Material	CF	a/A	b/A	c/A	alpha	beta	gamma	Vol/A3	nAT!H	
72	EKOPOK_clean_min_charges	H_8_C_16_O_10_Ca_1_Cd_1	14.308	15.844	15.845	78.291	63.23	63.229	2863.266	112
73	ELAFUT_clean_min_charges	H_12_C_12_N_2_O_6_S_2_Cd_1	16.978	23.612	15.943	95.36	105.337	99.088	6024.6704	276
74	EMITUQ_clean_min_charges	H_10_C_19_N_1_O_6_S_1_Zn_1	13.941	20.677	22.214	89.995	90.511	101.284	6279.3247	224
75	EQIWAD_clean_min_charges	H_72_C_64_N_8_O_40_As_8_Cd_3	9.647	19.512	23.029	89.998	93.397	89.999	4327.184	246
76	ERUFUS_clean_min_charges	H_8_C_14_N_6_S_3_Cd_1	15.295	19.779	15.02	109.185	100.984	90.011	4203.198	192
77	ESEVIH_clean_min_charges	H_60_C_143_O_110_Zn_32	23.068	16.552	16.552	90.011	89.999	90.002	6319.9106	285
78	EXEWAG_clean_min_charges	H_8_C_17_N_1_O_4_S_2_Zn_1	13.926	15.054	15.041	117.175	96.398	96.64	2737.7888	100
79	EZABEN_clean_min_charges	H_2_C_2_N_3_Cl_1_Cd_1	17.555	17.545	15.913	90.0	89.999	92.602	4896.19	168
80	EZUCIM_clean_min_charges	H_12_C_15_N_4_O_4_Zn_1	17.674	15.677	19.444	90.035	89.988	89.854	5387.4336	192
81	FAGREM_clean_min_charges	H_4_C_9_O_7_Zn_2	21.562	17.666	17.196	89.986	89.955	90.011	6550.1997	288
82	FAKLOU_clean_min_charges	H_6_C_18_N_6_Cd_1	21.836	13.243	13.24	119.454	90.024	90.096	3333.8057	100
83	FAPTIB_clean_min_charges	H_13_C_18_N_3_O_4_Cd_1	23.679	14.304	17.532	89.972	90.004	90.006	5938.165	208
84	FAPTOH_clean_min_charges	H_13_C_18_N_3_O_4_Cd_1	23.716	14.398	17.462	89.922	93.421	87.6	5946.7354	208
85	FAQVEA_clean_min_charges	H_7_C_8_N_5_O_2_Zn_1	9.85	12.071	12.099	90.268	109.829	109.743	1262.1128	64
86	FECWOB01_clean_min_charges	H_4_C_8_N_4_O_2_Zn_1	13.9279995	19.233	17.934	102.2	96.875	105.929	4433.877	240
87	FECZAQ_clean_min_charges	H_16_C_30_O_13_Zn_4	17.383	18.645	18.184	90.398	90.035	90.007	5893.4004	188
88	FEFCUQ_clean_min_charges	H_12_C_19_N_1_O_4_Zn_1	14.004	15.377	15.348	88.196	85.279	85.566	3282.9102	100
89	FEFDAX_clean_min_charges	H_10_C_17_N_3_O_4_Zn_1	14.017	15.199	15.249	85.04	87.603	83.928	3216.6392	100
90	FERHAN_clean_min_charges	H_36_C_48_O_19_Zn_4	17.288	17.276	17.335	85.834	86.336	86.54	5145.0874	142
91	FEWGUL_clean_min_charges	H_12_C_24_N_6_O_6_La_1	10.412	18.782	27.669	90.002	89.095	89.994	5410.224	296
92	FEZREJ_clean_min_charges	H_8_C_16_N_2_O_14_Cd_1_Ba_2	13.083	18.27	18.307	89.723	89.881	90.08	4375.7915	140
93	FIGXAW_clean_min_charges	H_18_C_26_N_4_O_13_Cd_2	14.648	15.577	17.021	89.998	89.997	116.496	3475.7896	180
94	FIJCUX_clean_min_charges	H_10_C_16_O_10_Zn_3	15.583	17.778	18.307	112.399	89.999	89.946	4689.0254	174
95	FIJCUX01_clean_min_charges	H_60_C_96_O_60_Zn_17	15.44	17.79	18.318	112.232	90.004	89.996	4657.497	173
96	FIPWOS_clean_min_charges	H_12_C_9_N_4_O_3_Zn_1	18.665	19.524	19.476	122.217	89.958	90.118	6004.598	272
97	FIPWUY_clean_min_charges	H_12_C_9_N_4_O_3_Zn_1	18.796	18.647	19.478	90.001	118.722	90.02	5986.864	272
98	FIPXEJ_clean_min_charges	H_12_C_9_N_4_O_3_Zn_1	18.463	21.015	15.668	94.029	89.958	89.91	6064.149	272
99	FIQCEN_clean_min_charges	H_2_C_6_O_4_Cu_1	18.743	18.765	18.762	59.98	60.083	60.109	4672.1255	132
100	FIRVEH_clean_min_charges	C_4_O_4_Ca_1	14.6779995	21.376	21.376	83.236	69.927	69.929	5916.887	288
101	FUDQIF_clean_min_charges	H_64_C_64_N_32_F_48_Si_7_Zn_8	14.418	14.304	15.436	89.978	90.0	89.985	3183.4443	159
102	FUNBAS_clean_min_charges	H_13_C_22_N_1_O_4_Zn_1	23.285	13.976	15.782	96.063	89.996	89.977	5107.225	224
103	FUNBEW_clean_min_charges	H_48_C_86_N_4_O_16_Zn_1_Br_4	22.207	14.008	16.175	90.0	90.0	90.0	5031.649	111
104	FUNBIA_clean_min_charges	H_13_C_22_N_2_O_4_Zn_1	23.263	15.816	15.993	90.014	89.916	90.006	5884.26	232
105	FUNBOG_clean_min_charges	H_24_C_43_N_4_O_8_Zn_2_Br_2	22.222	16.168	15.922	89.998	91.136	89.999	5719.4155	118
106	FUNCAT_clean_min_charges	H_13_C_23_N_3_O_4_Zn_1	23.416	15.734	18.046	88.64	89.846	90.01	6646.743	248
107	FUNCEX_clean_min_charges	H_43_C_92_N_12_O_16_Zn_2_Br_4	22.184	16.183	17.987	90.004	91.265	90.0	6455.8257	126
108	FUSWIA_clean_min_charges	H_32_C_48_N_40_Cl_4_Cu_5	12.124	15.264	15.916	89.962	89.998	89.986	2945.426	97
109	FUTKEL_clean_min_charges	H_16_C_27_N_1_O_4_Zn_1	15.43	15.497	17.723	115.631	115.646	89.982	3352.1594	132
110	GACQAE_clean_min_charges	H_12_C_20_O_7_Zn_2	20.636	15.499	23.722	89.798	89.984	90.015	7587.134	232
111	GALCED_clean_min_charges	H_14_C_22_N_4_O_4_Cd_1	17.005	18.735	19.368	90.005	90.013	101.51	6046.338	248
112	GAXWEJ_clean_min_charges	H_16_C_24_O_14_Zn_2_Ba_1	12.16	12.162	12.711	102.47	102.441	103.409	1714.2655	82
113	GAYFOD_clean_min_charges	H_64_C_83_N_64_Zn_13	14.775	18.055	18.055	90.0	90.001	90.018	4816.3994	160
114	GAYFUJ_clean_min_charges	H_4_C_6_N_4_Cd_1	19.791	19.792	21.892	89.997	90.002	119.953	7429.8315	264
115	GEDLIM_clean_min_charges	H_16_C_20_N_6_O_4_Zn_1	13.315	14.537	14.537	89.98	90.001	90.016	2813.7837	124
