ID	Material	CF	a/A	b/A	c/A	alpha	beta	gamma	Vol/A3	nAT!H	
391	VEJYUF01_clean_min_charges	H_6_C_6_N_4_Zn_1	15.503	15.666	18.559	90.008	90.0	89.962	4507.4233	176
392	VEJYUF02_clean_min_charges	H_6_C_6_N_4_Zn_1	15.689	15.707	18.579	89.811	90.13	89.579	4578.209	176
393	VISTUM_clean_min_charges	H_96_C_96_N_80_Cd_21	15.74	23.167	13.534	90.001	90.0	109.791	4643.654	197
394	VONBIK_clean_min_charges	H_144_C_192_N_24_O_39_Zn_8	16.072	18.863	18.379	90.289	90.035	89.883	5571.8076	263
395	VUQKOI_clean_min_charges	H_40_C_32_N_14_O_4_P_2_Cl_6_Cd_3	15.499	15.65	16.802	77.181	88.187	62.75	3521.3474	122
396	VUQKUO_clean_min_charges	H_20_C_16_N_7_O_2_P_1_Cl_2_Cd_1	14.07	15.811	26.043	90.002	89.998	93.291	5783.991	232
397	VUSKAW_clean_min_charges	H_12_C_24_O_13_Zn_4	18.42	18.43	18.426	60.177	60.213	60.202	4442.907	82
398	VUSKEA_clean_min_charges	H_12_C_24_O_13_Zn_4	18.402	18.418	18.412	60.334	60.264	60.268	4441.411	82
399	WABTOK_clean_min_charges	H_8_C_4_O_2_Cl_6_Cd_3	20.247	20.238	21.914	78.994	79.114	79.558	8556.941	240
400	WALBOC_clean_min_charges	H_3_C_3_N_4_O_2_Zn_1	13.19	13.9470005	16.988	89.974	89.987	90.126	3125.1206	160
401	WALBOC01_clean_min_charges	H_3_C_3_N_4_O_2_Zn_1	13.075	13.975	16.924	90.001	90.0	89.9	3092.4016	160
402	WALBOC02_clean_min_charges	H_3_C_3_N_4_O_2_Zn_1	13.128	13.969	16.99	90.0	90.046	90.119	3115.704	160
403	WALCET_clean_min_charges	H_3_C_3_N_4_O_2_Zn_1	13.172	13.948	16.991	90.05	90.016	90.246	3121.6082	160
404	WEBREC_clean_min_charges	H_16_C_25_N_1_O_6_Zn_1	13.637	13.618	16.926	90.002	90.005	117.781	2780.9937	132
405	WECJAR_clean_min_charges	H_9_C_16_N_1_O_4_S_2_Zn_1	20.818	14.184	14.212	105.285	97.023	95.798	3978.629	192
406	WEMNAF_clean_min_charges	H_13_C_14_N_9_O_6_S_1_Zn_1	18.448	12.012	12.576	79.494	74.765	78.175	2607.3337	124
407	WENDIE_clean_min_charges	H_4_C_8_N_4_O_2_Zn_1	15.45	19.658	17.422	102.575	89.943	113.182	4726.2266	240
408	WIDZOA_clean_min_charges	H_18_C_18_N_4_O_4_Cd_1	12.485	12.663	14.397	97.329	90.008	90.008	2257.5344	108
409	WIFBAQ_clean_min_charges	H_18_C_18_N_4_O_4_Cd_1	24.971	13.977	15.988	94.253	113.022	89.896	5119.306	216
410	WIJDID_clean_min_charges	H_2_C_1_N_2_Cl_1_Cu_1	8.968	17.261	15.785	90.077	89.988	89.665	2443.4211	120
411	WIYFAM_clean_min_charges	H_28_C_28_N_8_O_5_Zn_4	23.229	23.232	26.041	90.026	90.026	89.98	14053.182	360
412	WONZOP_clean_min_charges	H_32_C_48_N_8_F_11_Si_2_Zn_2	15.482	15.962	15.948	76.593	61.251	61.156	3026.6458	71
413	WONZUV_clean_min_charges	H_48_C_64_N_8_F_12_Si_1_Zn_2	15.47	17.456	17.455	79.156	64.301	64.302	3827.2751	87
414	WOWGEU_clean_min_charges	H_16_C_8_O_24_F_8_Al_7_P_8	9.977	16.51	12.13	89.992	89.995	91.972	1996.8737	110
415	XADGAM_clean_min_charges	H_14_C_24_N_2_O_4_Zn_1	22.525	14.859	16.143	89.981	90.922	90.127	5402.3325	248
416	XAMDUM07_clean_min_charges	H_2_C_6_O_4_Cu_1	18.746	18.767	18.762	60.039	60.068	60.0	4671.0903	132
417	XAWVUN_clean_min_charges	H_40_C_68_N_4_O_16_Cu_3	15.636	16.194	23.641	90.037	89.98	118.764	5247.4897	91
418	XAWZOM_clean_min_charges	H_20_C_28_N_2_O_11_S_1_Cd_2	18.876	20.398	19.192	90.082	90.086	90.225	7389.4736	352
419	XEDPIH_clean_min_charges	H_3_C_5_N_4_Zn_1_Br_1	20.34	14.217	14.214	91.228	90.009	90.041	4109.3706	176
420	XEHFUL_clean_min_charges	C_16_O_39_Y_8	12.958	18.007	18.843	90.002	89.999	111.344	4095.1633	252
421	XEHFUL01_clean_min_charges	C_61_O_160_Y_32	12.956	18.014	18.843	90.0	89.999	111.393	4094.7527	253
422	XEHFUL02_clean_min_charges	C_2_O_5_Y_1	12.959	17.975	18.843	89.999	90.0	111.087	4095.3257	256
423	XEHTUB_clean_min_charges	H_5_C_10_N_5_O_6_Cd_2	13.772	21.261	22.331	72.052	78.147	74.913	5950.012	368
424	XEJTIR_clean_min_charges	H_16_C_28_N_4_O_4_Al_1_Cu_1	12.173	15.241	16.963	90.017	93.105	89.935	3142.501	152
425	XENKIM_clean_min_charges	H_5_C_15_N_1_O_6_Ca_1	12.79	21.473	21.469	84.44	71.875	71.817	5323.847	184
426	XEQRAO_clean_min_charges	H_16_C_28_O_4_Cd_1	14.807	21.762	17.425	108.159	92.772	90.035	5328.2397	264
427	XEXLOD_clean_min_charges	H_8_C_19_N_2_O_6_Zn_1	11.325	19.51	25.169	90.004	90.079	97.198	5517.2773	224
428	XEXMEU_clean_min_charges	H_8_C_19_N_2_O_6_Zn_1	11.347	20.135	24.817	89.981	89.954	96.211	5636.7017	224
429	XIBZUF_clean_min_charges	H_15_C_33_N_3_O_15_Y_2	14.3220005	20.627	21.411	89.924	90.051	90.116	6325.215	212
430	XIDBUJ_clean_min_charges	H_10_C_17_N_3_O_4_Zn_1	23.614	15.143	15.151	97.649	107.232	107.129	4798.814	200
431	XIMPOA_clean_min_charges	H_16_C_18_N_4_O_4_Zn_1	14.715	15.754	16.954	90.004	90.034	90.009	3930.2776	216
432	XINFUW_clean_min_charges	H_4_C_8_O_4_Zn_1	12.765	15.357	18.611	90.014	90.104	90.283	3648.3032	104
433	XINHOT_clean_min_charges	H_24_C_39_N_2_O_13_La_2	12.39	13.252	17.63	82.78	73.952	62.192	2460.6199	112
434	XINJAH_clean_min_charges	H_9_C_18_O_6_La_1	17.338	12.484	22.023	93.063	90.155	90.273	4759.9404	200
435	XINWUO_clean_min_charges	H_4_C_3_N_3_Zn_1	22.762	13.671	13.681	80.117	65.442	65.507	3523.6907	112
436	XOJWEZ_clean_min_charges	H_14_C_10_N_4_Cu_1_Br_1	14.724	22.745	22.738	66.22	71.17	71.183	6430.6616	256
437	XOKHAH_clean_min_charges	H_13_C_24_N_2_O_9_Zn_2	13.918	19.19	19.673	89.998	90.004	90.138	5254.376	296
438	XOVVEK_clean_min_charges	H_28_C_44_N_18_O_16_Zn_7	19.669	24.184	15.402	95.453	98.285	113.617	6547.709	340
439	XOVVIO_clean_min_charges	H_14_C_22_N_9_O_10_Zn_3	19.872	23.965	15.367	95.5	98.167	113.342	6557.32	352
440	XUGSEY_clean_min_charges	H_34_C_76_N_6_O_8_F_10_Zn_3	23.744	15.496	21.157	78.042	79.281	89.821	7477.5576	206
441	XUNGOD_clean_min_charges	H_4_Li_1_C_6_N_1_O_2	10.911	23.31	13.33	90.251	95.52	90.988	3374.0054	160
442	XUNGUJ_clean_min_charges	H_4_Li_1_C_6_N_1_O_2	10.8880005	22.553	14.272	89.884	90.011	105.178	3382.333	160
443	XUNHAQ_clean_min_charges	H_4_Li_1_C_6_N_1_O_2	10.853	22.592	14.314	90.006	89.985	105.996	3373.7727	160
444	XUVHEB_clean_min_charges	H_32_C_52_N_2_O_12_Zn_3	14.75	18.171	25.086	90.11	90.028	90.423	6723.41	276
445	XUWVEQ_clean_min_charges	C_1_O_3_F_1_P_1_Ga_1	9.998	16.525	12.641	89.837	89.871	88.717	2087.9702	112
446	XUYXAR_clean_min_charges	H_7_C_13_N_1_O_4_Zn_1	16.461	15.127	22.291	90.008	95.734	90.009	5522.81	304
447	YARKEJ_clean_min_charges	H_30_C_40_N_4_O_9_Zn_2	12.626	14.248	14.05	98.353	102.982	76.551	2383.8193	110
448	YARYEV_clean_min_charges	H_3_C_2_N_3_Cd_1	17.513	17.503	14.779	91.578	91.568	90.543	4526.557	96
449	YARYOF_clean_min_charges	H_4_C_3_N_3_Cd_1	16.409	16.409	15.749	94.817	94.799	90.292	4210.397	112
450	YASPEP_clean_min_charges	H_160_C_175_N_16_O_32_Zn_8	13.514	18.167	19.301	90.126	96.269	90.07	4710.2144	231
451	YAZFOW_clean_min_charges	H_4_C_8_O_5_In_1	12.418	12.725	12.729	76.275	60.839	60.838	1533.842	56
452	YAZYEF_clean_min_charges	H_6_C_12_O_9_La_1	15.649	13.134	16.323	113.682	103.733	90.033	2967.173	176
453	YEGCUJ_clean_min_charges	H_6_C_8_N_4_O_2_Pd_1	16.656	16.662	16.599	89.666	90.208	89.995	4606.484	180
454	YEGKOM_clean_min_charges	H_6_C_4_N_8_Zn_1	20.677	20.595	12.001	90.067	90.234	90.04	5110.492	208
455	YEGYIU_clean_min_charges	H_12_C_19_N_4_O_4_Ag_2	14.559	18.463	15.521	100.713	95.558	90.881	4077.7217	232
456	YEKXET_clean_min_charges	H_14_C_26_N_4_O_12_Zn_3	15.404	15.378	22.946	90.0	89.966	89.983	5435.51	180
457	YEZFIU_clean_min_charges	H_8_C_6_N_8_O_1_Zn_1	14.23	15.182	15.163	69.119	72.179	107.937	2573.6736	96
458	YUBFOR_clean_min_charges	H_6_C_4_N_3_Zn_1	22.694	12.287	12.287	69.031	72.072	107.928	2685.9744	96
459	YUGLES_clean_min_charges	H_3_C_9_O_4_Cu_1	15.511	15.506	15.52	74.49	74.472	74.527	3388.0898	84
460	YUJNOH_clean_min_charges	C_2_N_4_O_2_Sr_1	17.021	13.239	13.279	89.588	89.985	89.884	2992.22	144
461	YUKBIP01_clean_min_charges	H_9_C_3_O_9_Al_2_P_3	17.319	14.166	14.169	120.109	89.912	89.916	3007.1829	136
462	ZARZAV_clean_min_charges	H_12_C_20_N_2_O_4_F_4_Zn_1	24.467	12.626	16.557	89.858	90.288	89.915	5114.708	248
463	ZEDRAD_clean_min_charges	H_1_C_3_O_4_S_1_Ba_1	13.716	13.851	16.448	90.0	90.001	89.736	3124.7627	144
464	ZEDROR_clean_min_charges	H_24_C_27_N_4_O_8_Zn_2	22.066	18.459	19.059	108.725	89.992	90.099	7352.134	328
465	ZERNAN_clean_min_charges	H_27_C_39_N_3_O_15_Y_2	12.886	13.793	14.348	66.733	67.057	77.72	2152.2405	118
466	ZERQOE_clean_min_charges	H_8_C_14_O_6_S_1_Ca_1	11.272	24.209	23.211	98.116	90.009	90.011	6270.4683	352
467	ZESFUY_clean_min_charges	H_126_C_154_N_29_F_47_Si_5_Zn_7	15.63	22.95	22.95	90.0	90.004	90.071	8232.355	242
468	ZIBGIC_clean_min_charges	H_18_C_24_N_4_O_10_Sr_1	15.111	15.052	15.128	68.972	73.507	110.918	2643.9595	156
469	ZIDDIB_clean_min_charges	H_9_C_21_N_3_O_12_In_2	16.111	16.589	19.564	90.028	90.0	89.991	5228.7793	304
470	ZIKJIO_clean_min_charges	H_15_C_24_N_1_O_8_Cu_2	23.003	23.021	18.818	94.395	93.658	97.78	9816.5625	280
471	ZISYAD_clean_min_charges	H_32_C_45_N_4_Cu_2_I_2	14.32	19.757	19.789	88.193	79.452	79.614	5413.9126	212
